source_id,source_name,iso3_country,lat,lon,capacity,capacity_units,capacity_factor
1051893,Amador County,USA,38.4468634262885,-120.64633434765194,204980.837,m^2,45.59690770020614
34157083,Amarillo Urban Area,USA,,,4223698.882,m^2,50.275208876265715
1054534,Amelia County,USA,37.33449874471067,-77.97932953140014,77221.911,m^2,54.160328433208555
34157133,Ames Urban Area,USA,,,2272664.659,m^2,49.72722209915792
1054535,Amherst County,USA,37.607596685191,-79.14487319104262,116232.244,m^2,52.92257705185491
1053114,Amite County,USA,31.17447177545418,-90.80605922441424,30455.378,m^2,55.77621991754626
1051777,Anchorage Municipality,USA,61.14815398303968,-149.22242970456426,3290770.503,m^2,36.885587197692224
34157064,Anchorage Urban Area,USA,,,3241699.864,m^2,36.89518830297239
1052596,Anderson County,USA,38.21412004651363,-95.29105535274888,121013.526,m^2,51.251364413594565
1052702,Anderson County,USA,38.00390942887936,-84.99119414736731,173397.211,m^2,52.101089048081626
1054030,Anderson County,USA,34.519854137930096,-82.63675262642892,2569152.641,m^2,54.686298480231095
1054139,Anderson County,USA,36.1184851359434,-84.19866223246875,1092453.382,m^2,53.39294397186461
1054234,Anderson County,USA,31.813158800951353,-95.65248626871706,556131.343,m^2,57.442126021298535
1053195,Andrew County,USA,39.98336574993302,-94.80338760973744,127443.775,m^2,49.712528430674624
1054235,Andrews County,USA,32.30499225617273,-102.63673583749996,368948.109,m^2,55.736708445902345
1052884,Androscoggin County,USA,44.16572503848666,-70.2066490419448,1359584.984,m^2,46.2161584641332
1054236,Angelina County,USA,31.256054404108216,-94.61335195084705,1554762.02,m^2,56.49558361028139
34157211,Ann Arbor Urban Area,USA,,,5645247.802,m^2,47.849931768504504
1052901,Anne Arundel County,USA,38.99145363960294,-76.56763702240188,7705399.864,m^2,52.3710683600417
1053025,Anoka County,USA,45.27497472079949,-93.24709433252922,4922722.517,m^2,47.356332909877075
1053603,Anson County,USA,34.97360553108599,-80.10312726503595,227603.542,m^2,55.353227776218
1053365,Antelope County,USA,42.17819665942754,-98.06602354487072,53350.394,m^2,46.69710915349566
34157020,Antioch Urban Area,USA,,,3252325.152,m^2,44.66157622914083
1052941,Antrim County,USA,44.99890535848524,-85.14221272015855,79166.593,m^2,44.97096959824961
1051801,Apache County,USA,35.39719133742317,-109.48764582371368,279771.175,m^2,47.62062521272966
1052499,Appanoose County,USA,40.7429488653328,-92.86968921753454,108284.332,m^2,49.736227435008786
34157195,Appleton Urban Area,USA,,,9595575.095,m^2,47.38633093736421
1052092,Appling County,USA,31.749226600208065,-82.2890478633004,369576.366,m^2,54.53134542429048
1054536,Appomattox County,USA,37.372584823776435,-78.81540565856919,52583.666,m^2,53.77135068901435
